,,,Scope/Entity,,,,Service/Entity,,,,,,count,entity_type,scope,scope_description,service_identifier,service_display_text,service_description,service_endpoint,setting_identifier,settings_table,service_table,latest_value,latest_value_timestamp
12,7,BVS,BVSWeb Service,12,7,bvs.services.bvs,BVSbvs.services.bvsWeb Service,,0,15,,,1,Web Service,BVS,Biometric Verification Service,bvs.services.bvs,Biometric Verification Service,Biometric Verification Service,/,,entity_service_type_setting,,,
13,7,BVS,BVSParent,13,7,bvs.services.bvs,BVSbvs.services.bvsParent,,0,15,,,2,Parent,BVS,Biometric Verification Service,bvs.services.bvs,Biometric Verification Service,Biometric Verification Service,/,,entity_service_type_setting,,,
14,7,BVS,BVSDevice,14,7,bvs.services.bvs,BVSbvs.services.bvsDevice,,0,15,,,1,Device,BVS,Biometric Verification Service,bvs.services.bvs,Biometric Verification Service,Biometric Verification Service,/,,entity_service_type_setting,,,
15,7,BVS,BVSParent,15,7,bvs.services.bvs,BVSbvs.services.bvsParent,,0,15,,,1,Parent,BVS,Biometric Verification Service,bvs.services.bvs,Biometric Verification Service,Biometric Verification Service,/,,entity_service_type_setting,,,
16,7,BVS,BVSParent,16,7,bvs.services.bvs,BVSbvs.services.bvsParent,,0,15,,,1,Parent,BVS,Biometric Verification Service,bvs.services.bvs,Biometric Verification Service,Biometric Verification Service,/,,entity_service_type_setting,,,
1,8,CDS,CDSDevice,1,8,cds.services.cds,CDScds.services.cdsDevice,,0,15,,,10,Device,CDS,Card Disbursement Service,cds.services.cds,Card Disbursement,Card Disbursement,/,,entity_service_type_setting,,,
2,8,CDS,CDSIntegrator,2,8,cds.services.cds,CDScds.services.cdsIntegrator,,0,15,,,25,Integrator,CDS,Card Disbursement Service,cds.services.cds,Card Disbursement,Card Disbursement,/,,entity_service_type_setting,,,
3,8,CDS,CDSParent,3,8,cds.services.cds,CDScds.services.cdsParent,,0,15,,,24,Parent,CDS,Card Disbursement Service,cds.services.cds,Card Disbursement,Card Disbursement,/,,entity_service_type_setting,,,
4,8,CDS,CDSDevice,4,8,cds.services.cds,CDScds.services.cdsDevice,,0,15,,,10,Device,CDS,Card Disbursement Service,cds.services.cds,Card Disbursement,Card Disbursement,/,,entity_service_setting,,,
5,8,CDS,CDSIntegrator,5,8,cds.services.cds,CDScds.services.cdsIntegrator,,0,15,,,24,Integrator,CDS,Card Disbursement Service,cds.services.cds,Card Disbursement,Card Disbursement,/,,entity_service_setting,,,
6,8,CDS,CDSParent,6,8,cds.services.cds,CDScds.services.cdsParent,,0,15,,,23,Parent,CDS,Card Disbursement Service,cds.services.cds,Card Disbursement,Card Disbursement,/,,entity_service_setting,,,
1,9,CDVS,CDVSParent,1,9,cdvs.services.cdvs,CDVScdvs.services.cdvsParent,,0,15,,,1,Parent,CDVS,Check-Digit Validation Service,cdvs.services.cdvs,Check-Digit Validation Service,Can perform a check-digit validation check,/,,entity_service_setting,,,
2,9,CDVS,CDVSIntegrator,2,9,cdvs.services.cdvs,CDVScdvs.services.cdvsIntegrator,,0,15,,,1,Integrator,CDVS,Check-Digit Validation Service,cdvs.services.cdvs,Check-Digit Validation Service,Can perform a check-digit validation check,/,,entity_service_type_setting,,,
3,9,CDVS,CDVSParent,3,9,cdvs.services.cdvs,CDVScdvs.services.cdvsParent,,0,15,,,1,Parent,CDVS,Check-Digit Validation Service,cdvs.services.cdvs,Check-Digit Validation Service,Can perform a check-digit validation check,/,,entity_service_type_setting,,,
4,9,CDVS,CDVSIntegrator,4,9,cdvs.services.cdvs,CDVScdvs.services.cdvsIntegrator,,0,15,,,1,Integrator,CDVS,Check-Digit Validation Service,cdvs.services.cdvs,Check-Digit Validation Service,Can perform a check-digit validation check,/,,entity_service_setting,,,
1,10,CMS,CMSDevice,1,10,cms.services.cms,CMScms.services.cmsDevice,CMScms.services.cmscms.track.request,1,16,,,34,Device,CMS,Client Management Service,cms.services.cms,Client Management Service,Client Management Service,/,cms.track.request,entity_service_type_setting,entity_service_type_setting,TRUE,5043
2,10,CMS,CMSParent,2,10,cms.services.cms,CMScms.services.cmsParent,,0,16,,,1,Parent,CMS,Client Management Service,cms.services.cms,Client Management Service,Client Management Service,/,,entity_service_type_setting,,,
3,10,CMS,CMSDevice,3,10,cms.services.cms,CMScms.services.cmsDevice,,0,16,,,71,Device,CMS,Client Management Service,cms.services.cms,Client Management Service,Client Management Service,/,,entity_service_setting,,,
4,10,CMS,CMSParent,4,10,cms.services.cms,CMScms.services.cmsParent,,0,16,,,265,Parent,CMS,Client Management Service,cms.services.cms,Client Management Service,Client Management Service,/,,entity_service_setting,,,
5,10,CMS,CMSParent,5,10,cms.services.cms,CMScms.services.cmsParent,,0,16,,,1,Parent,CMS,Client Management Service,cms.services.cms,Client Management Service,Client Management Service,/,,entity_service_setting,,,
6,10,CMS,CMSParent,6,10,cms.services.cms,CMScms.services.cmsParent,,0,16,,,56,Parent,CMS,Client Management Service,cms.services.cms,Client Management Service,Client Management Service,/,,entity_service_setting,,,
7,10,CMS,CMSIntegrator,7,10,cms.services.cms,CMScms.services.cmsIntegrator,,0,16,,,48,Integrator,CMS,Client Management Service,cms.services.cms,Client Management Service,Client Management Service,/,,entity_service_setting,,,
8,10,CMS,CMSDevice,8,10,cms.services.cms,CMScms.services.cmsDevice,,0,16,,,1,Device,CMS,Client Management Service,cms.services.cms,Client Management Service,Client Management Service,/,,entity_service_type_setting,,,
9,10,CMS,CMSDevice,9,10,cms.services.cms,CMScms.services.cmsDevice,,0,16,,,1,Device,CMS,Client Management Service,cms.services.cms,Client Management Service,Client Management Service,/,,entity_service_type_setting,,,
10,10,CMS,CMSParent,10,10,cms.services.cms,CMScms.services.cmsParent,,0,16,,,69,Parent,CMS,Client Management Service,cms.services.cms,Client Management Service,Client Management Service,/,,entity_service_type_setting,,,
